,mse_mean,mse_std,rmse_mean,rmse_std
linear_regression,5.468933074074516,0.04198328683321104,2.3385577946319867,0.008973028501897427
elastic_cv,5.484698478452004,0.046969483569576705,2.3419218598908937,0.01002400205407452
poisson,6.569985359143798,0.05193836407676169,2.5631782471746964,0.010130762767451739
gamma,7.465950476746208,0.044866992892574196,2.732376795613626,0.008217270740546644
sgd,5.513455983172849,0.053029823799047936,2.348047816161143,0.011288764048238064
random_forest,3.612516234267475,0.03882995250347388,1.9006345290301447,0.01022845666927511
extra_trees,3.90252271820662,0.04577143492832902,1.975446304426765,0.011602436522426833
hist_gbr_iter100k,3.3225300781650366,0.030033469588466147,1.8227621978478314,0.008249137044541019
