,mse,rmse
linear_regression,"[5.439726265460316, 5.526765548692872, 5.415286105381946, 5.454757408394126, 5.508130042443324]","[2.3323220758420815, 2.350907388370046, 2.3270767295862735, 2.3355422086517996, 2.3469405707097324]"
elastic_cv,"[5.458559191250338, 5.549684943348299, 5.42316475169977, 5.4637894685908215, 5.528294037370792]","[2.3363559641566476, 2.355776929878612, 2.3287689348021994, 2.3374750198859497, 2.351232450731061]"
poisson,"[6.5671367790547555, 6.632701454017238, 6.515766586018736, 6.509754909150862, 6.624567067477403]","[2.5626425382902616, 2.5754031633934984, 2.552599965920774, 2.5514221346439054, 2.5738234336250425]"
gamma,"[7.494132921439573, 7.478945212509732, 7.445964525779793, 7.390246684442535, 7.520463039559412]","[2.7375414008631127, 2.7347660251856523, 2.728729470977252, 2.7185008156045374, 2.7423462654375745]"
sgd,"[5.48146709981054, 5.581762109598828, 5.443472608650001, 5.492161509109118, 5.56841658869576]","[2.341253318163274, 2.362575313000377, 2.33312507351192, 2.3435361121837057, 2.359749263946439]"
random_forest,"[3.5463544432957304, 3.617263065678344, 3.6036933780277822, 3.6303957557570636, 3.664874528578455]","[1.8831766893458857, 1.9019103726722624, 1.8983396371639565, 1.9053597444464558, 1.9143862015221629]"
extra_trees,"[3.8276512762354864, 3.9420210391526576, 3.8773539339196677, 3.9122614736505956, 3.95332586807469]","[1.9564384161622586, 1.9854523512672515, 1.969099777542943, 1.9779437488590508, 1.9882972283023204]"
hist_gbr_iter100k,"[3.2719079928146826, 3.332031718977084, 3.3410587375757106, 3.3087394785758675, 3.3589124628818383]","[1.808841616287806, 1.8253853617735307, 1.8278563230122085, 1.8189940842608223, 1.8327336039047897]"
