,mse_mean,mse_std,rmse_mean,rmse_std
linear_regression,6.027368439308138,0.11126591265942001,2.454964073443592,0.022799943188193467
elastic_cv,6.039447806029585,0.11063761294158433,2.4574245131192014,0.022639972403714587
poisson,6.82239667979141,0.12610373891246193,2.611858802197081,0.024295620532070756
gamma,7.526156567518544,0.13504878223509145,2.7432723692054806,0.024764407368105593
sgd,6.070542341061916,0.11555231008260956,2.4637342396909903,0.023578321317990283
random_forest,4.343428544075742,0.071131548782365,2.0840195459818935,0.01706095076958691
extra_trees,4.741963187164546,0.07215185150161993,2.1775419066422024,0.01656598869932074
hist_gbr_iter100k,3.750333276420912,0.10090505493054396,1.9364007648761645,0.02617927057648795
