,mse_mean,mse_std,rmse_mean,rmse_std
linear_regression,5.7550182956204505,0.09374020268570715,2.398882200622329,0.01955717663221048
elastic_cv,5.764695222167807,0.09318094022000684,2.4008993954906237,0.01942459524839204
poisson,6.75028508816573,0.07285067553342686,2.5980931737855757,0.014033833921046545
gamma,7.614546464083334,0.08334787355668595,2.7594052901081136,0.015129739148058902
sgd,5.790884566298308,0.10237089773896817,2.4063317246790685,0.021264926554493867
random_forest,3.836243260325925,0.07621610543709915,1.9585354881960981,0.019544866394981097
extra_trees,4.1844137096218414,0.08116142108904362,2.0454872850549237,0.01988658594327663
hist_gbr_iter100k,3.4420320407632645,0.06740230194864905,1.855181862651967,0.018229022202054558
