,mse,rmse
linear_regression,"[5.847881487834142, 5.8630335355670535, 5.7572387719223705, 5.6146374774893415, 5.692300205289341]","[2.418239336342485, 2.421370177310164, 2.3994246751924453, 2.3695226264987093, 2.3858541877678405]"
elastic_cv,"[5.865574725080346, 5.86404537415157, 5.765924426329565, 5.624774183811214, 5.7031574014663375]","[2.4218948625157832, 2.4215791075559703, 2.401233938276228, 2.3716606384158787, 2.388128430689258]"
poisson,"[6.80219217565358, 6.839892581980327, 6.772522369733673, 6.637502660966009, 6.699315652495062]","[2.608101258704037, 2.615318829890598, 2.6024070338311174, 2.5763351220223676, 2.5883036244797597]"
gamma,"[7.648689341826095, 7.705206030493635, 7.674272678400416, 7.473513223261064, 7.571051046435455]","[2.765626392307192, 2.775825288178929, 2.770247764803794, 2.7337727087783037, 2.751554296472351]"
sgd,"[5.934030547222387, 5.873586375493581, 5.778813897789443, 5.6518042944462765, 5.716187716539852]","[2.4359865654847908, 2.423548302694539, 2.4039163666378753, 2.3773523706943984, 2.3908550178837387]"
random_forest,"[3.8226815069230193, 3.8754913737386367, 3.8637157319263906, 3.6975200290576677, 3.9218076599839136]","[1.9551678973742943, 1.9686267736009884, 1.9656336718540386, 1.9228936603612972, 1.9803554377898716]"
extra_trees,"[4.144263624384458, 4.192581778916517, 4.26707757639446, 4.051510023936847, 4.266635544476924]","[2.035746453855307, 2.0475794926977846, 2.0656905809908848, 2.01283631324975, 2.0655835844808905]"
hist_gbr_iter100k,"[3.4191958455308633, 3.4818717826729446, 3.521576293300669, 3.3244089240967942, 3.4631073582150504]","[1.8491067696406456, 1.86597743359156, 1.8765863404865413, 1.8232961701536023, 1.8609425993874853]"
