,mse,rmse
random_forest,"[4.534285887161266, 4.473188472476168, 4.537113688481589, 4.509832295748412, 4.5734383622295205]","[2.1293862700696806, 2.1149913646339478, 2.130050161024756, 2.1236365733685254, 2.1385598804404613]"
extra_trees,"[4.776900337085512, 4.760818861872111, 4.778832655867915, 4.77065686285301, 4.859398856882633]","[2.185612119541231, 2.1819300772188166, 2.1860541292172786, 2.1841833400273454, 2.204404422260723]"
hist_gbr_iter100k,"[3.916870206731598, 3.8462282196668776, 3.8562704466830646, 3.9003024419971193, 3.9082870714046796]","[1.9791084373352557, 1.9611803128898877, 1.963738894731951, 1.9749183380578346, 1.9769388132677954]"
