,mse,rmse
linear_regression,"[6.215293382987736, 6.388419120431326, 6.24399202993595, 6.331883968447568, 6.282986823939722]","[2.493049013354478, 2.5275322194645367, 2.4987981170826807, 2.5163235023437602, 2.506588682640158]"
elastic_cv,"[6.229353164284238, 6.404073049679275, 6.25888736780579, 6.337234568090286, 6.292793293836381]","[2.4958672168775804, 2.530627007221585, 2.5017768421275686, 2.5173864558486616, 2.508544058579873]"
poisson,"[6.88209131556828, 7.10534075985877, 6.969911177896897, 6.953102894367912, 6.964142496318714]","[2.6233740327235613, 2.665584506231001, 2.640058934549927, 2.6368736970829514, 2.638966179457159]"
gamma,"[7.72024425602267, 7.968273441559896, 7.888344197872426, 7.776994021456796, 7.8648815237472744]","[2.778532752375374, 2.8228130369473456, 2.8086196249888356, 2.7887262363768865, 2.8044396095739472]"
sgd,"[6.253834484471839, 6.423511962604068, 6.274837243854712, 6.353937423537169, 6.3195843866201855]","[2.5007667793042674, 2.5344648276518, 2.5049625234431576, 2.520701772034361, 2.513878355573353]"
random_forest,"[4.059328641770342, 4.09685286080858, 4.117350710010566, 4.138438421901518, 4.09193438310586]","[2.014777566325956, 2.024068393312978, 2.0291256023249438, 2.0343152218625113, 2.022853030525416]"
extra_trees,"[4.505688364234317, 4.566823521295163, 4.626898122126389, 4.6240119445175125, 4.53842091724601]","[2.122660680427825, 2.13701275646524, 2.151022575922063, 2.1503515862568876, 2.130356992911284]"
hist_gbr_iter100k,"[3.5066302223819643, 3.6409416821974863, 3.57235042940272, 3.59214414087426, 3.488807896499658]","[1.8725998564514428, 1.9081251746668735, 1.890066250003613, 1.895295264826634, 1.867835082789607]"
