,mse_mean,mse_std,rmse_mean,rmse_std
linear_regression,6.29251506514846,0.06189662169968864,2.508458306977123,0.012328313182587708
elastic_cv,6.304468288739194,0.06140186519226593,2.510840316131054,0.012214566308486968
poisson,6.974917728802114,0.07244855859476214,2.6409714700089197,0.01369026665332207
gamma,7.843747488131811,0.08677707152559916,2.800626252052478,0.015494658637859001
sgd,6.325141100217595,0.060252872601192935,2.514954851601388,0.011966395624238967
random_forest,4.100781003519373,0.02647499811097971,2.0250279628703614,0.006538586428963468
extra_trees,4.572368573883878,0.04747620608317159,2.13828091839666,0.011103508662325798
hist_gbr_iter100k,3.5601748742712176,0.05595324954760541,1.8867843257476342,0.014825059334243218
