,mse,rmse
random_forest,"[4.277658752683815, 4.213619066057344, 4.077267213296055, 4.185920280559691, 4.148349236063393]","[2.0682501668521183, 2.052710175854678, 2.019224408850105, 2.045952169665677, 2.036749674374196]"
extra_trees,"[4.499624777762849, 4.456805709435024, 4.281265232302083, 4.404073288440414, 4.334195617034709]","[2.1212319009865115, 2.1111148025237814, 2.0691218505206703, 2.098588403770595, 2.081873103009573]"
hist_gbr_iter100k,"[3.8349502646552205, 3.6651411599767147, 3.6341084538406108, 3.752590322664245, 3.700157932941837]","[1.9583029042145703, 1.9144558391294155, 1.906333772937103, 1.9371603760825393, 1.9235794584424728]"
