,mse,rmse
random_forest,"[4.093480895575852, 4.234500149274276, 4.092900562688761, 4.100269987054726, 4.19942736656547]","[2.023235254629538, 2.0577901130276324, 2.023091832490251, 2.0249123405853218, 2.0492504401769613]"
extra_trees,"[4.276393476880236, 4.396525744321656, 4.314893503951014, 4.314432308488158, 4.3390243345184]","[2.0679442634849314, 2.0967893895958305, 2.0772321738195307, 2.0771211588369507, 2.083032485228783]"
hist_gbr_iter100k,"[3.6054176123936865, 3.7588535979733058, 3.5859321480536672, 3.6829377923030324, 3.746914466458006]","[1.8987937256041496, 1.9387763145792, 1.8936557628179593, 1.919098171616823, 1.9356948278223005]"
