,mse,rmse
linear_regression,"[6.274239165467486, 6.418320797431092, 6.2882978068550885, 6.298149056605335, 6.419876887831268]","[2.504843141888826, 2.533440505997939, 2.507647863408076, 2.5096113357660257, 2.5337475974988646]"
elastic_cv,"[6.296635752836641, 6.4322231476988705, 6.296830066079513, 6.306241017127855, 6.433897583865741]","[2.5093098160324168, 2.536182790671617, 2.509348534197574, 2.511223012224891, 2.5365128787107984]"
poisson,"[6.893549731124487, 6.9457615599448586, 6.84721970319395, 6.829738041046465, 6.962375187546822]","[2.6255570325408066, 2.635481276720603, 2.6167192633513343, 2.6133767506898935, 2.638631309513859]"
gamma,"[7.708857479577957, 7.680107979749281, 7.6571439413227536, 7.598074118147726, 7.733803160939007]","[2.7764829334209775, 2.7713007739596365, 2.767154484542335, 2.756460432900811, 2.780971621742841]"
sgd,"[6.330157392379513, 6.462611332450083, 6.336760898242587, 6.330344318149744, 6.458788656817483]","[2.5159804038146865, 2.542166661029541, 2.517292374405998, 2.516017551240401, 2.541414695955283]"
random_forest,"[3.5968835314235976, 3.6521471123206886, 3.6446418459943337, 3.6736165355373376, 3.6735242545918148]","[1.896545156705634, 1.9110591598170603, 1.9090945094453375, 1.9166680817338555, 1.916644008310311]"
extra_trees,"[3.922148979844326, 4.0447033598729645, 3.99156200926215, 4.004740114679546, 4.038181361685826]","[1.9804416123290094, 2.01114478839117, 1.9978893886454652, 2.0011846778045115, 2.0095226701099507]"
hist_gbr_iter100k,"[3.2416714872197643, 3.309533888451831, 3.3379178142639456, 3.3595520111470996, 3.342879865000391]","[1.8004642421386114, 1.8192124363173836, 1.826996938766988, 1.832908074930955, 1.8283544144941897]"
